dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata,id
b01,Bengali,10,five,reach,5,5,1,1,no,3
b01,Bengali,10,five,point,0,0,0,0,no,2
b01,Bengali,10,five,ho_gv,0,0,0,0,no,1
b01,Bengali,10,tp1,reach,0,0,0,0,no,6
b01,Bengali,10,tp1,point,0,0,0,0,no,5
b01,Bengali,10,tp1,ho_gv,0,0,0,0,no,4
b01,Bengali,10,tp2,reach,0,0,0,0,no,9
b01,Bengali,10,tp2,point,0,0,0,0,no,8
b01,Bengali,10,tp2,ho_gv,0,0,0,0,no,7
b01,Bengali,11,five,reach,7,8,3,3,yes,3
b01,Bengali,11,five,point,1,1,0,0,yes,2
b01,Bengali,11,five,ho_gv,0,0,0,0,yes,1
b01,Bengali,11,tp1,reach,0,0,0,0,no,6
b01,Bengali,11,tp1,point,0,0,0,0,no,5
b01,Bengali,11,tp1,ho_gv,0,0,0,0,no,4
b01,Bengali,11,tp2,reach,0,0,0,0,no,9
b01,Bengali,11,tp2,point,0,0,0,0,no,8
b01,Bengali,11,tp2,ho_gv,0,0,0,0,no,7
b01,Bengali,12,five,reach,0,0,0,0,no,3
b01,Bengali,12,five,point,0,0,0,0,no,2
b01,Bengali,12,five,ho_gv,0,0,0,0,no,1
b01,Bengali,12,tp1,reach,0,0,0,0,no,6
b01,Bengali,12,tp1,point,0,0,0,0,no,5
b01,Bengali,12,tp1,ho_gv,1,1,0,0,no,4
b01,Bengali,12,tp2,reach,0,0,0,0,no,9
b01,Bengali,12,tp2,point,0,0,0,0,no,8
b01,Bengali,12,tp2,ho_gv,2,2,0,0,no,7
b02,Bengali,10,five,reach,2,2,0,0,no,12
b02,Bengali,10,five,point,1,1,0,0,no,11
b02,Bengali,10,five,ho_gv,0,0,0,0,no,10
b02,Bengali,10,tp1,reach,0,0,0,0,no,15
b02,Bengali,10,tp1,point,0,0,0,0,no,14
b02,Bengali,10,tp1,ho_gv,0,0,0,0,no,13
b02,Bengali,10,tp2,reach,0,0,0,0,no,18
b02,Bengali,10,tp2,point,0,0,0,0,no,17
b02,Bengali,10,tp2,ho_gv,1,1,0,0,no,16
b02,Bengali,11,five,reach,2,2,1,1,no,12
b02,Bengali,11,five,point,2,2,0,0,no,11
b02,Bengali,11,five,ho_gv,0,0,0,0,no,10
b02,Bengali,11,tp1,reach,0,0,0,0,no,15
b02,Bengali,11,tp1,point,0,0,0,0,no,14
b02,Bengali,11,tp1,ho_gv,4,4,0,0,no,13
b02,Bengali,11,tp2,reach,0,0,0,0,no,18
b02,Bengali,11,tp2,point,0,0,0,0,no,17
b02,Bengali,11,tp2,ho_gv,10,10,0,0,no,16
b02,Bengali,12,five,reach,3,3,0,0,no,12
b02,Bengali,12,five,point,0,0,0,0,no,11
b02,Bengali,12,five,ho_gv,0,0,0,0,no,10
b02,Bengali,12,tp1,reach,0,0,0,0,no,15
b02,Bengali,12,tp1,point,0,0,0,0,no,14
b02,Bengali,12,tp1,ho_gv,6,6,0,0,no,13
b02,Bengali,12,tp2,reach,0,0,0,0,no,18
b02,Bengali,12,tp2,point,0,0,0,0,no,17
b02,Bengali,12,tp2,ho_gv,5,5,0,0,no,16
b03,Bengali,10,five,reach,4,4,0,0,no,21
b03,Bengali,10,five,point,0,0,0,0,no,20
b03,Bengali,10,five,ho_gv,0,0,0,0,no,19
b03,Bengali,10,tp1,reach,0,0,0,0,no,24
b03,Bengali,10,tp1,point,0,0,0,0,no,23
b03,Bengali,10,tp1,ho_gv,8,8,0,0,no,22
b03,Bengali,10,tp2,reach,0,0,0,0,no,27
b03,Bengali,10,tp2,point,0,0,0,0,no,26
b03,Bengali,10,tp2,ho_gv,0,0,0,0,no,25
b03,Bengali,11,five,reach,6,6,0,0,no,21
b03,Bengali,11,five,point,1,1,0,0,no,20
b03,Bengali,11,five,ho_gv,0,0,0,0,no,19
b03,Bengali,11,tp1,reach,0,0,0,0,no,24
b03,Bengali,11,tp1,point,0,0,0,0,no,23
b03,Bengali,11,tp1,ho_gv,5,5,0,0,no,22
b03,Bengali,11,tp2,reach,0,0,0,0,no,27
b03,Bengali,11,tp2,point,0,0,0,0,no,26
b03,Bengali,11,tp2,ho_gv,3,3,0,0,no,25
b03,Bengali,12,five,reach,4,6,0,0,yes,21
b03,Bengali,12,five,point,0,0,0,0,yes,20
b03,Bengali,12,five,ho_gv,0,0,0,0,yes,19
b03,Bengali,12,tp1,reach,0,0,0,0,no,24
b03,Bengali,12,tp1,point,0,0,0,0,no,23
b03,Bengali,12,tp1,ho_gv,4,4,0,0,no,22
b03,Bengali,12,tp2,reach,0,0,0,0,no,27
b03,Bengali,12,tp2,point,0,0,0,0,no,26
b03,Bengali,12,tp2,ho_gv,6,6,0,0,no,25
b04,Bengali,10,five,reach,0,0,0,0,no,30
b04,Bengali,10,five,point,0,0,0,0,no,29
b04,Bengali,10,five,ho_gv,0,0,0,0,no,28
b04,Bengali,10,tp1,reach,0,0,0,0,no,33
b04,Bengali,10,tp1,point,0,0,0,0,no,32
b04,Bengali,10,tp1,ho_gv,3,3,1,1,no,31
b04,Bengali,10,tp2,reach,0,0,0,0,no,36
b04,Bengali,10,tp2,point,0,0,0,0,no,35
b04,Bengali,10,tp2,ho_gv,4,4,0,0,no,34
b04,Bengali,11,five,reach,9,9,3,3,no,30
b04,Bengali,11,five,point,0,0,0,0,no,29
b04,Bengali,11,five,ho_gv,0,0,0,0,no,28
b04,Bengali,11,tp1,reach,0,0,0,0,no,33
b04,Bengali,11,tp1,point,0,0,0,0,no,32
b04,Bengali,11,tp1,ho_gv,9,9,2,2,no,31
b04,Bengali,11,tp2,reach,0,0,0,0,yes,36
b04,Bengali,11,tp2,point,0,0,0,0,yes,35
b04,Bengali,11,tp2,ho_gv,3,3,3,3,yes,34
b04,Bengali,12,five,reach,5,5,1,1,no,30
b04,Bengali,12,five,point,3,3,2,2,no,29
b04,Bengali,12,five,ho_gv,0,0,0,0,no,28
b04,Bengali,12,tp1,reach,0,0,0,0,no,33
b04,Bengali,12,tp1,point,1,1,1,1,no,32
b04,Bengali,12,tp1,ho_gv,9,9,3,3,no,31
b04,Bengali,12,tp2,reach,0,0,0,0,no,36
b04,Bengali,12,tp2,point,1,1,0,0,no,35
b04,Bengali,12,tp2,ho_gv,3,3,0,0,no,34
b05,Bengali,10,five,reach,4,4,0,0,no,39
b05,Bengali,10,five,point,0,0,0,0,no,38
b05,Bengali,10,five,ho_gv,0,0,0,0,no,37
b05,Bengali,10,tp1,reach,0,0,0,0,no,42
b05,Bengali,10,tp1,point,0,0,0,0,no,41
b05,Bengali,10,tp1,ho_gv,0,0,0,0,no,40
b05,Bengali,10,tp2,reach,0,0,0,0,no,45
b05,Bengali,10,tp2,point,0,0,0,0,no,44
b05,Bengali,10,tp2,ho_gv,0,0,0,0,no,43
b05,Bengali,11,five,reach,3,3,0,0,no,39
b05,Bengali,11,five,point,3,3,0,0,no,38
b05,Bengali,11,five,ho_gv,0,0,0,0,no,37
b05,Bengali,11,tp1,reach,0,0,0,0,no,42
b05,Bengali,11,tp1,point,0,0,0,0,no,41
b05,Bengali,11,tp1,ho_gv,1,1,0,0,no,40
b05,Bengali,11,tp2,reach,0,0,0,0,no,45
b05,Bengali,11,tp2,point,0,0,0,0,no,44
b05,Bengali,11,tp2,ho_gv,6,6,3,3,no,43
b05,Bengali,12,five,reach,1,1,0,0,no,39
b05,Bengali,12,five,point,5,5,3,3,no,38
b05,Bengali,12,five,ho_gv,0,0,0,0,no,37
b05,Bengali,12,tp1,reach,1,1,0,0,no,42
b05,Bengali,12,tp1,point,0,0,0,0,no,41
b05,Bengali,12,tp1,ho_gv,1,1,0,0,no,40
b05,Bengali,12,tp2,reach,0,0,0,0,no,45
b05,Bengali,12,tp2,point,0,0,0,0,no,44
b05,Bengali,12,tp2,ho_gv,8,8,1,1,no,43
b06,Bengali,10,five,reach,1,1,0,0,no,48
b06,Bengali,10,five,point,0,0,0,0,no,47
b06,Bengali,10,five,ho_gv,0,0,0,0,no,46
b06,Bengali,10,tp1,reach,0,0,0,0,no,51
b06,Bengali,10,tp1,point,0,0,0,0,no,50
b06,Bengali,10,tp1,ho_gv,4,4,1,1,no,49
b06,Bengali,10,tp2,reach,0,0,0,0,no,54
b06,Bengali,10,tp2,point,0,0,0,0,no,53
b06,Bengali,10,tp2,ho_gv,3,3,1,1,no,52
b06,Bengali,11,five,reach,2,2,0,0,no,48
b06,Bengali,11,five,point,0,0,0,0,no,47
b06,Bengali,11,five,ho_gv,0,0,0,0,no,46
b06,Bengali,11,tp1,reach,0,0,0,0,no,51
b06,Bengali,11,tp1,point,0,0,0,0,no,50
b06,Bengali,11,tp1,ho_gv,4,4,1,1,no,49
b06,Bengali,11,tp2,reach,0,0,0,0,no,54
b06,Bengali,11,tp2,point,0,0,0,0,no,53
b06,Bengali,11,tp2,ho_gv,0,0,0,0,no,52
b06,Bengali,12,five,reach,0,0,0,0,no,48
b06,Bengali,12,five,point,0,0,0,0,no,47
b06,Bengali,12,five,ho_gv,0,0,0,0,no,46
b06,Bengali,12,tp1,reach,0,0,0,0,no,51
b06,Bengali,12,tp1,point,0,0,0,0,no,50
b06,Bengali,12,tp1,ho_gv,10,10,0,0,no,49
b06,Bengali,12,tp2,reach,0,0,0,0,no,54
b06,Bengali,12,tp2,point,0,0,0,0,no,53
b06,Bengali,12,tp2,ho_gv,0,0,0,0,no,52
b07,Bengali,10,five,reach,2,2,1,1,no,57
b07,Bengali,10,five,point,0,0,0,0,no,56
b07,Bengali,10,five,ho_gv,0,0,0,0,no,55
b07,Bengali,10,tp1,reach,0,0,0,0,no,60
b07,Bengali,10,tp1,point,0,0,0,0,no,59
b07,Bengali,10,tp1,ho_gv,0,0,0,0,no,58
b07,Bengali,10,tp2,reach,0,0,0,0,no,63
b07,Bengali,10,tp2,point,0,0,0,0,no,62
b07,Bengali,10,tp2,ho_gv,0,0,0,0,no,61
b07,Bengali,11,five,reach,3,3,1,1,no,57
b07,Bengali,11,five,point,2,2,0,0,no,56
b07,Bengali,11,five,ho_gv,0,0,0,0,no,55
b07,Bengali,11,tp1,reach,0,0,0,0,no,60
b07,Bengali,11,tp1,point,0,0,0,0,no,59
b07,Bengali,11,tp1,ho_gv,1,1,0,0,no,58
b07,Bengali,11,tp2,reach,0,0,0,0,no,63
b07,Bengali,11,tp2,point,0,0,0,0,no,62
b07,Bengali,11,tp2,ho_gv,0,0,0,0,no,61
b07,Bengali,12,five,reach,2,2,0,0,no,57
b07,Bengali,12,five,point,5,5,3,3,no,56
b07,Bengali,12,five,ho_gv,0,0,0,0,no,55
b07,Bengali,12,tp1,reach,0,0,0,0,no,60
b07,Bengali,12,tp1,point,0,0,0,0,no,59
b07,Bengali,12,tp1,ho_gv,0,0,0,0,no,58
b07,Bengali,12,tp2,reach,0,0,0,0,no,63
b07,Bengali,12,tp2,point,0,0,0,0,no,62
b07,Bengali,12,tp2,ho_gv,1,1,0,0,no,61
b08,Bengali,10,five,reach,3,4,0,0,yes,66
b08,Bengali,10,five,point,0,0,0,0,yes,65
b08,Bengali,10,five,ho_gv,0,0,0,0,yes,64
b08,Bengali,10,tp1,reach,0,0,0,0,no,69
b08,Bengali,10,tp1,point,0,0,0,0,no,68
b08,Bengali,10,tp1,ho_gv,0,0,0,0,no,67
b08,Bengali,10,tp2,reach,0,0,0,0,no,72
b08,Bengali,10,tp2,point,0,0,0,0,no,71
b08,Bengali,10,tp2,ho_gv,3,3,0,0,no,70
b08,Bengali,11,five,reach,6,6,1,1,no,66
b08,Bengali,11,five,point,0,0,0,0,no,65
b08,Bengali,11,five,ho_gv,0,0,0,0,no,64
b08,Bengali,11,tp1,reach,0,0,0,0,no,69
b08,Bengali,11,tp1,point,0,0,0,0,no,68
b08,Bengali,11,tp1,ho_gv,8,8,5,5,no,67
b08,Bengali,11,tp2,reach,0,0,0,0,no,72
b08,Bengali,11,tp2,point,0,0,0,0,no,71
b08,Bengali,11,tp2,ho_gv,5,5,2,2,no,70
b08,Bengali,12,five,reach,10,10,1,1,no,66
b08,Bengali,12,five,point,0,0,0,0,no,65
b08,Bengali,12,five,ho_gv,0,0,0,0,no,64
b08,Bengali,12,tp1,reach,0,0,0,0,no,69
b08,Bengali,12,tp1,point,0,0,0,0,no,68
b08,Bengali,12,tp1,ho_gv,1,1,0,0,no,67
b08,Bengali,12,tp2,reach,0,0,0,0,no,72
b08,Bengali,12,tp2,point,0,0,0,0,no,71
b08,Bengali,12,tp2,ho_gv,0,0,0,0,no,70
b09,Bengali,10,five,reach,5,5,0,0,no,75
b09,Bengali,10,five,point,0,0,0,0,no,74
b09,Bengali,10,five,ho_gv,0,0,0,0,no,73
b09,Bengali,10,tp1,reach,0,0,0,0,no,78
b09,Bengali,10,tp1,point,0,0,0,0,no,77
b09,Bengali,10,tp1,ho_gv,3,3,2,2,no,76
b09,Bengali,10,tp2,reach,0,0,0,0,no,81
b09,Bengali,10,tp2,point,0,0,0,0,no,80
b09,Bengali,10,tp2,ho_gv,0,0,0,0,no,79
b09,Bengali,11,five,reach,2,2,0,0,no,75
b09,Bengali,11,five,point,2,2,0,0,no,74
b09,Bengali,11,five,ho_gv,0,0,0,0,no,73
b09,Bengali,11,tp1,reach,0,0,0,0,no,78
b09,Bengali,11,tp1,point,0,0,0,0,no,77
b09,Bengali,11,tp1,ho_gv,2,2,0,0,no,76
b09,Bengali,11,tp2,reach,0,0,0,0,no,81
b09,Bengali,11,tp2,point,0,0,0,0,no,80
b09,Bengali,11,tp2,ho_gv,0,0,0,0,no,79
b09,Bengali,12,five,reach,3,3,0,0,no,75
b09,Bengali,12,five,point,4,4,0,0,no,74
b09,Bengali,12,five,ho_gv,0,0,0,0,no,73
b09,Bengali,12,tp1,reach,0,0,0,0,no,78
b09,Bengali,12,tp1,point,0,0,0,0,no,77
b09,Bengali,12,tp1,ho_gv,3,3,0,0,no,76
b09,Bengali,12,tp2,reach,0,0,0,0,no,81
b09,Bengali,12,tp2,point,0,0,0,0,no,80
b09,Bengali,12,tp2,ho_gv,2,2,0,0,no,79
b10,Bengali,10,five,reach,2,2,0,0,no,84
b10,Bengali,10,five,point,0,0,0,0,no,83
b10,Bengali,10,five,ho_gv,0,0,0,0,no,82
b10,Bengali,10,tp1,reach,0,0,0,0,no,87
b10,Bengali,10,tp1,point,0,0,0,0,no,86
b10,Bengali,10,tp1,ho_gv,0,0,0,0,no,85
b10,Bengali,10,tp2,reach,0,0,0,0,no,90
b10,Bengali,10,tp2,point,0,0,0,0,no,89
b10,Bengali,10,tp2,ho_gv,0,0,0,0,no,88
b10,Bengali,11,five,reach,0,0,0,0,no,84
b10,Bengali,11,five,point,0,0,0,0,no,83
b10,Bengali,11,five,ho_gv,0,0,0,0,no,82
b10,Bengali,11,tp1,reach,0,0,0,0,no,87
b10,Bengali,11,tp1,point,0,0,0,0,no,86
b10,Bengali,11,tp1,ho_gv,1,1,0,0,no,85
b10,Bengali,11,tp2,reach,0,0,0,0,no,90
b10,Bengali,11,tp2,point,0,0,0,0,no,89
b10,Bengali,11,tp2,ho_gv,0,0,0,0,no,88
b10,Bengali,12,five,reach,2,2,0,0,no,84
b10,Bengali,12,five,point,0,0,0,0,no,83
b10,Bengali,12,five,ho_gv,0,0,0,0,no,82
b10,Bengali,12,tp1,reach,0,0,0,0,no,87
b10,Bengali,12,tp1,point,0,0,0,0,no,86
b10,Bengali,12,tp1,ho_gv,3,3,0,0,no,85
b10,Bengali,12,tp2,reach,0,0,0,0,no,90
b10,Bengali,12,tp2,point,0,0,0,0,no,89
b10,Bengali,12,tp2,ho_gv,5,5,0,0,no,88
b11,Bengali,10,five,reach,6,6,2,2,no,93
b11,Bengali,10,five,point,0,0,0,0,no,92
b11,Bengali,10,five,ho_gv,0,0,0,0,no,91
b11,Bengali,10,tp1,reach,2,2,0,0,no,96
b11,Bengali,10,tp1,point,0,0,0,0,no,95
b11,Bengali,10,tp1,ho_gv,0,0,0,0,no,94
b11,Bengali,10,tp2,reach,0,0,0,0,no,99
b11,Bengali,10,tp2,point,0,0,0,0,no,98
b11,Bengali,10,tp2,ho_gv,0,0,0,0,no,97
b11,Bengali,11,five,reach,2,2,0,0,no,93
b11,Bengali,11,five,point,9,9,3,3,no,92
b11,Bengali,11,five,ho_gv,0,0,0,0,no,91
b11,Bengali,11,tp1,reach,0,0,0,0,no,96
b11,Bengali,11,tp1,point,0,0,0,0,no,95
b11,Bengali,11,tp1,ho_gv,4,4,0,0,no,94
b11,Bengali,11,tp2,reach,0,0,0,0,no,99
b11,Bengali,11,tp2,point,0,0,0,0,no,98
b11,Bengali,11,tp2,ho_gv,4,4,0,0,no,97
b11,Bengali,12,five,reach,11,11,1,1,no,93
b11,Bengali,12,five,point,2,2,1,1,no,92
b11,Bengali,12,five,ho_gv,0,0,0,0,no,91
b11,Bengali,12,tp1,reach,0,0,0,0,no,96
b11,Bengali,12,tp1,point,0,0,0,0,no,95
b11,Bengali,12,tp1,ho_gv,9,9,1,1,no,94
b11,Bengali,12,tp2,reach,0,0,0,0,no,99
b11,Bengali,12,tp2,point,0,0,0,0,no,98
b11,Bengali,12,tp2,ho_gv,15,15,2,2,no,97
b12,Bengali,10,five,reach,2,2,0,0,no,102
b12,Bengali,10,five,point,0,0,0,0,no,101
b12,Bengali,10,five,ho_gv,0,0,0,0,no,100
b12,Bengali,10,tp1,reach,0,0,0,0,no,105
b12,Bengali,10,tp1,point,0,0,0,0,no,104
b12,Bengali,10,tp1,ho_gv,0,0,0,0,no,103
b12,Bengali,10,tp2,reach,0,0,0,0,no,108
b12,Bengali,10,tp2,point,0,0,0,0,no,107
b12,Bengali,10,tp2,ho_gv,0,0,0,0,no,106
b12,Bengali,11,five,reach,4,4,1,1,no,102
b12,Bengali,11,five,point,12,12,2,2,no,101
b12,Bengali,11,five,ho_gv,0,0,0,0,no,100
b12,Bengali,11,tp1,reach,0,0,0,0,no,105
b12,Bengali,11,tp1,point,6,6,1,1,no,104
b12,Bengali,11,tp1,ho_gv,16,16,0,0,no,103
b12,Bengali,11,tp2,reach,0,0,0,0,no,108
b12,Bengali,11,tp2,point,0,0,0,0,no,107
b12,Bengali,11,tp2,ho_gv,17,17,1,1,no,106
b12,Bengali,12,five,reach,2,2,NA,NA,no,102
b12,Bengali,12,five,point,8,8,NA,NA,no,101
b12,Bengali,12,five,ho_gv,0,0,NA,NA,no,100
b12,Bengali,12,tp1,reach,1,1,0,0,no,105
b12,Bengali,12,tp1,point,3,3,0,0,no,104
b12,Bengali,12,tp1,ho_gv,6,6,0,0,no,103
b12,Bengali,12,tp2,reach,0,0,0,0,yes,108
b12,Bengali,12,tp2,point,0,0,0,0,yes,107
b12,Bengali,12,tp2,ho_gv,3,4,0,0,yes,106
b13,Bengali,10,five,reach,9,10,0,0,yes,111
b13,Bengali,10,five,point,1,2,0,0,yes,110
b13,Bengali,10,five,ho_gv,0,0,0,0,yes,109
b13,Bengali,10,tp1,reach,0,0,0,0,no,114
b13,Bengali,10,tp1,point,0,0,0,0,no,113
b13,Bengali,10,tp1,ho_gv,1,1,0,0,no,112
b13,Bengali,10,tp2,reach,0,0,0,0,no,117
b13,Bengali,10,tp2,point,0,0,0,0,no,116
b13,Bengali,10,tp2,ho_gv,0,0,0,0,no,115
b13,Bengali,11,five,reach,10,10,0,0,no,111
b13,Bengali,11,five,point,0,0,0,0,no,110
b13,Bengali,11,five,ho_gv,0,0,0,0,no,109
b13,Bengali,11,tp1,reach,0,0,0,0,no,114
b13,Bengali,11,tp1,point,0,0,0,0,no,113
b13,Bengali,11,tp1,ho_gv,5,5,0,0,no,112
b13,Bengali,11,tp2,reach,0,0,0,0,no,117
b13,Bengali,11,tp2,point,0,0,0,0,no,116
b13,Bengali,11,tp2,ho_gv,0,0,0,0,no,115
b13,Bengali,12,five,reach,3,3,0,0,no,111
b13,Bengali,12,five,point,1,1,0,0,no,110
b13,Bengali,12,five,ho_gv,0,0,0,0,no,109
b13,Bengali,12,tp1,reach,0,0,0,0,no,114
b13,Bengali,12,tp1,point,3,3,0,0,no,113
b13,Bengali,12,tp1,ho_gv,11,11,0,0,no,112
b13,Bengali,12,tp2,reach,0,0,0,0,no,117
b13,Bengali,12,tp2,point,0,0,0,0,no,116
b13,Bengali,12,tp2,ho_gv,10,10,0,0,no,115
b14,Bengali,10,five,reach,1,1,0,0,no,120
b14,Bengali,10,five,point,0,0,0,0,no,119
b14,Bengali,10,five,ho_gv,0,0,0,0,no,118
b14,Bengali,10,tp1,reach,0,0,0,0,no,123
b14,Bengali,10,tp1,point,0,0,0,0,no,122
b14,Bengali,10,tp1,ho_gv,0,0,0,0,no,121
b14,Bengali,10,tp2,reach,0,0,0,0,no,126
b14,Bengali,10,tp2,point,0,0,0,0,no,125
b14,Bengali,10,tp2,ho_gv,0,0,0,0,no,124
b14,Bengali,11,five,reach,7,7,0,0,no,120
b14,Bengali,11,five,point,19,19,3,3,no,119
b14,Bengali,11,five,ho_gv,0,0,0,0,no,118
b14,Bengali,11,tp1,reach,0,0,0,0,no,123
b14,Bengali,11,tp1,point,0,0,0,0,no,122
b14,Bengali,11,tp1,ho_gv,0,0,0,0,no,121
b14,Bengali,11,tp2,reach,0,0,0,0,no,126
b14,Bengali,11,tp2,point,0,0,0,0,no,125
b14,Bengali,11,tp2,ho_gv,3,3,0,0,no,124
b14,Bengali,12,five,reach,4,4,0,0,no,120
b14,Bengali,12,five,point,3,3,0,0,no,119
b14,Bengali,12,five,ho_gv,0,0,0,0,no,118
b14,Bengali,12,tp1,reach,0,0,0,0,no,123
b14,Bengali,12,tp1,point,0,0,0,0,no,122
b14,Bengali,12,tp1,ho_gv,12,12,0,0,no,121
b14,Bengali,12,tp2,reach,0,0,0,0,no,126
b14,Bengali,12,tp2,point,0,0,0,0,no,125
b14,Bengali,12,tp2,ho_gv,12,12,0,0,no,124
b15,Bengali,10,five,reach,0,0,0,0,no,129
b15,Bengali,10,five,point,0,0,0,0,no,128
b15,Bengali,10,five,ho_gv,0,0,0,0,no,127
b15,Bengali,10,tp1,reach,1,1,0,0,no,132
b15,Bengali,10,tp1,point,0,0,0,0,no,131
b15,Bengali,10,tp1,ho_gv,3,3,0,0,no,130
b15,Bengali,10,tp2,reach,0,0,0,0,no,135
b15,Bengali,10,tp2,point,0,0,0,0,no,134
b15,Bengali,10,tp2,ho_gv,2,2,0,0,no,133
b15,Bengali,11,five,reach,0,0,0,0,no,129
b15,Bengali,11,five,point,1,1,0,0,no,128
b15,Bengali,11,five,ho_gv,0,0,0,0,no,127
b15,Bengali,11,tp1,reach,0,0,0,0,no,132
b15,Bengali,11,tp1,point,0,0,0,0,no,131
b15,Bengali,11,tp1,ho_gv,11,11,0,0,no,130
b15,Bengali,11,tp2,reach,0,0,0,0,no,135
b15,Bengali,11,tp2,point,0,0,0,0,no,134
b15,Bengali,11,tp2,ho_gv,3,3,0,0,no,133
b15,Bengali,12,five,reach,3,3,0,0,no,129
b15,Bengali,12,five,point,1,1,0,0,no,128
b15,Bengali,12,five,ho_gv,0,0,0,0,no,127
b15,Bengali,12,tp1,reach,0,0,0,0,no,132
b15,Bengali,12,tp1,point,0,0,0,0,no,131
b15,Bengali,12,tp1,ho_gv,22,22,0,0,no,130
b15,Bengali,12,tp2,reach,0,0,0,0,no,135
b15,Bengali,12,tp2,point,0,0,0,0,no,134
b15,Bengali,12,tp2,ho_gv,5,5,0,0,no,133
b16,Bengali,10,five,reach,4,4,0,0,no,138
b16,Bengali,10,five,point,15,15,0,0,no,137
b16,Bengali,10,five,ho_gv,0,0,0,0,no,136
b16,Bengali,10,tp1,reach,0,0,0,0,no,141
